"","SubmissionDate","starttime","endtime","enum","note_1","note_2","intro","consent_text","consent","note_3","resp_status","resp_interviewed","date_time","id_c","id_2_c","district_calc","id","id_2","district","sex_q2_1","day_q2_2","age_q2_3_c","age_q2_3","rel_q2_4","q2_4_oth","status_q2_5","q2_5_oth","lc1_naba_vht_q2_11","q2_12err","educ_q2_21","read_q2_22","read_q2_22b","lang_q2_23","q2_23_oth","other_lang_q2_24","q2_24err","q2_24_oth","activity_q3_1","q3_1_oth","frequency_discussion_q3_1","convers_q3_3","q3_3err","granchildren_q3_4","granchildren_boys_q3_5","food_q4_2","news_q4_1","watchTV_q4_1","mobile_q4_2","randomdraw1","random_order","note_q5_1","doctor_q5_1a","teacher_q5_1a","principal_q5_1a","official_q5_1a","judge_q5_1a","police_q5_1a","clergy_q5_1a","note_q5_1_b","doctor_q5_1b","teacher_q5_1b","police_q5_1b","clergy_q5_1b","principal_q5_1b","official_q5_1b","judge_q5_1b","note_q5_1_c","police_q5_1c","clergy_q5_1c","principal_q5_1c","official_q5_1c","judge_q5_1c","doctor_q5_1c","teacher_q5_1c","note_q5_1_d","police_q5_1d","clergy_q5_1d","doctor_q5_1d","teacher_q5_1d","principal_q5_1d","official_q5_1d","judge_q5_1d","note_q5_1_e","principal_q5_1e","official_q5_1e","judge_q5_1e","doctor_q5_1e","teacher_q5_1e","police_q5_1e","clergy_q5_1e","note_q5_1_f","principal_q5_1f","official_q5_1f","judge_q5_1f","police_q5_1f","clergy_q5_1f","doctor_q5_1f","teacher_q5_1f","goals_q6_2","q6_2err","note7_1","boys_school_q7_1","able_marry_q7_2","final_say_q7_3","child_rearing_q7_4","note8","note8_1","randomdraw2","action_q8_1a_1","action_q8_1b_1","action_q8_1b_2_1","action_q8_1c_1","action_q8_1d_1","action_q8_1d_2_1","action_q8_1a_2","action_q8_1b_2","action_q8_1b_2_2","action_q8_1c_2","action_q8_1d_2","action_q8_1d_2_2","action_q8_1a_3","action_q8_1b_3","action_q8_1b_2_3","action_q8_1c_3","action_q8_1d_3","action_q8_1d_2_3","action_q8_1a_4","action_q8_1b_4","action_q8_1b_2_4","action_q8_1c_4","action_q8_1d_4","action_q8_1d_2_4","note8_2","disobeys_q8_1a","disobeys_yes","disobeys_no","randomdraw3","chat_q8_1b","fin_pressure_q8_1c","no_housework_q8_1e","note8_3","disobeys_community_q8_2","housework_comm_q8_4","chat_community_q8_5","fin_press_comm_q8_6","react_q8_7","intervene_q8_9","spiral_risk_q8_7","note8_8","empathy_pair_q8_8","empathy_husband_q8_9","free_riding_ran","free_riding","free_riding_lug","free.riding_q8_10","free.riding_q8_10_oth","free.riding_q8_10_no","free.riding_q8_10_2","free.riding_q8_10_2no","revenge_q8_11","note8_12","forum_ran","forum","R_gender","R_not_gender","R_gender_lug","R_not_gender_lug","reporting_exp_q8_12","reporting_intro","reporting_intro_2","reporting_cost1_q8_13a","reporting_cost2_q8_13b","reporting_cost3_q8_13c","intervention_q9_1","interv_consequence_q9_2","randomdraw6","tribe_q2_25","q2_25_oth","tribe1","religion_q14_1","q14_1_oth","religion_times_q14_2","note16_1","note16_1_2","beaten_comm_q16_1","woman_beaten_q16_1b","report_q16_1c","q16_1err","report_q16_1c_oth","note_17","beating_freq_q17_2","beating_yes_q17_2b","beating_no_q17_2b","note_17_2","hh_violence_yesno_q17_2","incidents_q17_2b","hh_violence_freq_q17_3","hh_violence_yes_q17_3b","hh_violence_no_q17_3b","ipv_efficacy_q17_4","films_q17_1","other_attend_q17_2","content_q17_1b","q19_3err","content_q17_1b_oth","hear_q19_4","q19_4err","hear_q19_4_oth","note_19","q19_1","organizers_q18_1","followup_fest_q18_2","attendance_q18_3","cooperative_q20_1","person_q18_1","relationship_person_q18_2","q18_2_oth","q18_2berr","note18","note20","observe_conditions_q18_4","note20_2","survey_language","survey_language_oth","woman_kneeling","comments","instanceID","formdef_version","KEY","tc_id"
"1","May 21, 2017 11:53:07 AM","May 21, 2017 11:48:12 AM","May 21, 2017 11:53:05 AM",1,NA,NA,NA,NA,1,NA,2,1,"May 21, 2017 11:48:00 AM",NA,NA,NA,"112233445","112233445",1,1,1,NA,23,5,NA,3,NA,"3",NA,7,4,NA,5,NA,"3 6",NA,NA,4,NA,NA,"2",NA,3,2,"Pizza",2,4,4,0.968625124163792,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,2,2,1,"2 4 5",NA,NA,1,NA,2,2,NA,NA,0.726950793351364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.917946436007022,NA,NA,1,NA,1,2,NA,NA,2,2,2,NA,2,2,0.444361661672437,"you know that you are the only who has observed the incident","ng omanyi nti gwe weka alabye ekintu ekiguddewo",NA,NA,NA,2,"Ggy",1,NA,0.454643705389271,"Nabakyala","man","Woman","omusajja","omukazi",NA,NA,NA,2,2,2,2,NA,0.167095416443371,8,NA,"Kakwa",7,NA,2,NA,NA,2,1,"2 3",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,4,3,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,3,NA,1,NA,1,"Mock survey","uuid:370dbe0b-5409-410b-b65e-d3ea7e63cb7b",1705211139,"uuid:370dbe0b-5409-410b-b65e-d3ea7e63cb7b",7
"2","May 21, 2017 11:59:27 AM","May 21, 2017 11:53:15 AM","May 21, 2017 11:59:25 AM",11,NA,NA,NA,NA,1,NA,2,2,"May 21, 2017 11:53:00 AM",NA,NA,NA,"N76767688","N76767688",2,2,2,NA,32,6,NA,3,NA,"2 4",NA,6,3,NA,5,NA,"6",NA,NA,4,NA,4,"1 2",NA,3,3,"Iuu",3,4,3,0.726688078876912,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,"2 3 5",NA,NA,1,NA,2,2,NA,NA,0.363328513197206,NA,NA,NA,NA,NA,NA,2,2,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,0.875048580303512,NA,NA,1,NA,1,2,NA,NA,2,2,2,NA,1,2,0.00574319052401262,"you know that you are the only who has observed the incident","ng omanyi nti gwe weka alabye ekintu ekiguddewo",2,NA,"6",NA,NA,2,NA,0.208709572184253,"LC1","woman","Man","omukazi","omusajja",2,NA,NA,1,NA,1,1,2,0.634851225072431,5,NA,"Aringa",3,NA,2,NA,NA,1,1,"2",NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,NA,1,2,3,"1 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,2,NA,1,NA,3,"Mock survey","uuid:aacf0f3d-9b3f-4603-817f-3041d389129e",1705211139,"uuid:aacf0f3d-9b3f-4603-817f-3041d389129e",22
"3","May 21, 2017 3:04:31 PM","May 21, 2017 2:50:48 PM","May 21, 2017 3:04:22 PM",9,NA,NA,NA,NA,1,NA,2,1,"May 21, 2017 2:51:00 PM",NA,NA,NA,"888888888","888888888",2,2,3,NA,25,6,NA,4,NA,"3 5",NA,5,3,NA,4,NA,"3",NA,NA,4,NA,3,"2 3",NA,2,3,"57",3,4,3,0.224568433328763,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2 4 5",NA,NA,1,2,2,2,NA,NA,0.0155190943346032,2,1,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0.807476369356328,NA,NA,1,NA,1,2,NA,NA,2,1,2,NA,2,2,0.800846996039157,"you see a group of people from your community standing nearby, discussing the incident","nolaba ekibinja ky abantu okuva mukitundu kyo nga bayimiridde okumpi, nga bogera ku kiguddewo",2,NA,"Gug7g",NA,NA,1,NA,0.30182289296686,"LC1","woman","Man","omukazi","omusajja",NA,NA,NA,2,2,1,1,2,0.938342934214991,8,NA,"Kakwa",7,NA,1,NA,NA,2,1,"2 3",NA,NA,NA,NA,NA,NA,NA,1,2,2,NA,1,1,3,2,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,"uuid:6dffb853-c3a8-42a2-afcb-1267e22cd322",1705211139,"uuid:6dffb853-c3a8-42a2-afcb-1267e22cd322",22
"4","May 21, 2017 7:37:12 PM","May 21, 2017 12:59:11 PM","May 21, 2017 5:13:39 PM",20,NA,NA,NA,NA,1,NA,1,1,"May 21, 2017 12:59:00 PM",40135341,40135341,"Mubende",NA,NA,NA,2,2,20,NA,NA,NA,5,NA,"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,"1 3",NA,3,4,"Matooke",5,3,5,0.715629588115054,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,"2 3 9",NA,NA,2,1,2,1,NA,NA,0.00192569989234193,2,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,0.545940737040273,NA,2,NA,NA,2,NA,NA,2,1,1,1,NA,1,1,0.0826799844262199,"you know that you are the only who has observed the incident","ng omanyi nti gwe weka alabye ekintu ekiguddewo",1,NA,NA,NA,NA,1,NA,0.408608542866209,"Nabakyala","woman","Man","omukazi","omusajja",2,NA,NA,1,1,1,1,2,0.409879048444257,24,NA,"Munyoro",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,2,NA,NA,NA,NA,NA,6,NA,1,NA,4,"Survey was conducted on phone so gps wasnt captured ","uuid:58294f73-564b-41c0-8d4a-b23ae2cbb7ca",1705211139,"uuid:58294f73-564b-41c0-8d4a-b23ae2cbb7ca",84
"5","May 22, 2017 6:16:22 PM","May 22, 2017 11:00:43 AM","May 22, 2017 12:09:37 PM",35,NA,NA,NA,NA,1,NA,2,2,"May 22, 2017 11:03:00 AM",NA,NA,NA,"w40432511","w40432511",4,2,2,NA,47,1,NA,6,NA,"11",NA,18,NA,4,2,NA,"30",NA,NA,1,NA,1,"1 2 3 4 10",NA,5,3,"Beans",5,1,5,0.0354780400218107,1,NA,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 2 9",NA,NA,2,2,1,1,NA,NA,0.605890513298586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,0.296567350304589,1,NA,NA,NA,2,NA,2,NA,1,1,1,NA,1,1,0.598550451294537,"you see a group of people from your community standing nearby, discussing the incident","nolaba ekibinja ky abantu okuva mukitundu kyo nga bayimiridde okumpi, nga bogera ku kiguddewo",1,NA,NA,NA,NA,1,NA,0.977772814315141,"Police","woman","Man","omukazi","omusajja",2,NA,NA,1,1,1,2,1,0.452415124315391,22,NA,"Munyarwanda",9,NA,3,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,8,3,NA,NA,NA,"7",NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,2,NA,1,NA,1,NA,"uuid:f24474ba-3bc6-45bb-a820-35a1665556d2",1705211139,"uuid:f24474ba-3bc6-45bb-a820-35a1665556d2",100
"6","May 22, 2017 6:16:29 PM","May 22, 2017 1:54:18 PM","May 22, 2017 3:23:17 PM",35,NA,NA,NA,NA,1,NA,2,2,"May 22, 2017 1:54:00 PM",NA,NA,NA,"w40432611","w40432611",4,2,2,NA,38,2,NA,2,NA,"11",NA,18,NA,4,30,NA,"27",NA,NA,1,NA,1,"1 4 7 10",NA,4,5,"Sweet potatoes",5,6,1,0.369858330648694,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2 3 9",NA,NA,2,2,NA,1,NA,NA,0.666546899303865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,0.882703194057749,NA,NA,2,NA,2,2,NA,NA,1,1,2,NA,1,1,0.171201112394826,"you know that you are the only who has observed the incident","ng omanyi nti gwe weka alabye ekintu ekiguddewo",1,NA,NA,NA,NA,1,NA,0.919848364300402,"Police","woman","Man","omukazi","omusajja",2,NA,NA,1,1,1,1,2,0.708599909230221,14,NA,"Mufumbira",9,NA,3,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,2,NA,1,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"2",NA,NA,NA,NA,2,NA,1,NA,1,NA,"uuid:97c7a309-7a24-47f7-8620-5affbf3d4f50",1705211139,"uuid:97c7a309-7a24-47f7-8620-5affbf3d4f50",100
"7","May 22, 2017 6:16:32 PM","May 22, 2017 3:24:53 PM","May 22, 2017 4:52:31 PM",35,NA,NA,NA,NA,1,NA,2,2,"May 22, 2017 3:31:00 PM",NA,NA,NA,"w40432511","w40432511",4,2,2,NA,34,2,NA,2,NA,"11",NA,4,2,NA,30,NA,"2",NA,NA,1,NA,2,"1 4 10",NA,4,5,"Matooke",4,6,1,0.754779627599868,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,"2 3 9",NA,NA,2,2,1,1,NA,NA,0.873348854278203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,1,2,NA,NA,2,NA,1,0.871852157307845,NA,NA,1,NA,2,1,NA,NA,1,1,1,NA,1,1,0.841082262587479,"you see a group of people from your community standing nearby, discussing the incident","nolaba ekibinja ky abantu okuva mukitundu kyo nga bayimiridde okumpi, nga bogera ku kiguddewo",2,NA,"The husband might beat me also",NA,NA,1,NA,0.0705461971239993,"LC1","woman","Man","omukazi","omusajja",1,NA,NA,1,1,1,2,1,0.715341317533532,22,NA,"Munyarwanda",8,NA,1,NA,NA,1,1,"1 3",NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,8,2,NA,NA,NA,"7",NA,NA,NA,NA,NA,NA,NA,1,1,"2",NA,NA,NA,NA,2,NA,1,NA,2,NA,"uuid:14edfb81-1bcc-49a7-97a4-e4a453e95d4b",1705211139,"uuid:14edfb81-1bcc-49a7-97a4-e4a453e95d4b",100
"8","May 22, 2017 6:55:10 PM","May 22, 2017 2:10:25 PM","May 22, 2017 4:13:07 PM",28,NA,NA,NA,NA,1,NA,1,1,"May 22, 2017 2:21:00 PM",40105431,40105431,"Mubende",NA,NA,NA,2,1,30,NA,NA,NA,1,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,2,"5",NA,3,3,"Irish potatoes",4,2,5,0.245733859566145,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3 4 7",NA,NA,2,2,1,1,NA,NA,0.539175883570938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0.129486561975198,1,NA,NA,NA,2,NA,1,NA,1,1,2,NA,1,2,0.777728151456353,"you see a group of people from your community standing nearby, discussing the incident","nolaba ekibinja ky abantu okuva mukitundu kyo nga bayimiridde okumpi, nga bogera ku kiguddewo",NA,NA,NA,2,"Because the victim herself should be the one to report this case",1,NA,0.282489436556939,"LC1","woman","Man","omukazi","omusajja",2,NA,NA,2,2,2,2,2,0.515459540043773,29,NA,"Mutooro",NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,2,NA,NA,NA,NA,NA,6,NA,5,"Rutooro",4,"The resoondent was very cooperative and interested in stating out her opinions ","uuid:417408ef-910b-4d23-ab0c-4f55e6f785cd",1705211139,"uuid:417408ef-910b-4d23-ab0c-4f55e6f785cd",83
"9","May 22, 2017 7:09:02 PM","May 22, 2017 10:11:28 AM","May 22, 2017 11:27:28 AM",5,NA,NA,NA,NA,1,NA,1,1,"May 22, 2017 10:13:00 AM",40432201,40432201,"Mubende",NA,NA,NA,1,2,35,NA,NA,NA,1,NA,"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,"1 7 10",NA,3,4,"Matooke",5,4,5,0.350677922706961,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 3 9",NA,NA,2,1,1,1,NA,NA,0.120747626724247,2,1,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,0.463836530056643,NA,2,NA,NA,2,NA,NA,2,1,1,1,NA,2,1,0.278986284625861,"you know that you are the only who has observed the incident","ng omanyi nti gwe weka alabye ekintu ekiguddewo",1,NA,NA,NA,NA,2,NA,0.387900062827179,"Nabakyala","man","Woman","omusajja","omukazi",2,NA,NA,2,2,2,1,1,0.779429713921026,14,NA,"Mufumbira",NA,NA,NA,NA,NA,3,0,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,2,NA,NA,NA,NA,NA,4,NA,1,NA,3,NA,"uuid:69e74dde-7c9f-4de9-a79c-5b76a07ebaec",1705211139,"uuid:69e74dde-7c9f-4de9-a79c-5b76a07ebaec",100
"10","May 22, 2017 7:09:22 PM","May 22, 2017 8:41:31 AM","May 22, 2017 9:42:27 AM",15,NA,NA,NA,NA,1,NA,1,1,"May 22, 2017 8:46:00 AM",41610521,41610521,"Mubende",NA,NA,NA,2,1,19,NA,NA,NA,2,NA,"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,3,"1 3 7",NA,3,4,"Posho",4,2,4,0.149116740956306,1,NA,2,1,2,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 3 4",NA,NA,2,2,2,1,NA,NA,0.184554677971696,2,1,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,0.0356171112498223,2,NA,NA,NA,1,NA,1,NA,1,1,1,NA,1,2,0.47259451137288,"you know that you are the only who has observed the incident","ng omanyi nti gwe weka alabye ekintu ekiguddewo",1,NA,NA,NA,NA,2,NA,0.331778702713833,"Nabakyala","woman","Man","omukazi","omusajja",1,NA,NA,1,1,2,1,1,0.65035713885415,17,NA,"Mukhonjo",NA,NA,NA,NA,NA,2,1,"3",NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,2,NA,NA,NA,NA,NA,3,NA,1,NA,2,NA,"uuid:c647acc9-7259-4be8-99a1-0e26602ec75f",1705211139,"uuid:c647acc9-7259-4be8-99a1-0e26602ec75f",94
